,Comparison,Taxa,Method,Group,LDA,P.unadj,P.adj,Significance
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema|s__Nosema_bombycis,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Microsporidiomycota|o__Microsporidiomycotina|f__Microsporidiomycotina_X|g__Nosema|s__Nosema_bombycis,LEfSe,PFU,3.322269662,1.24E-06,1.50E-05,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__NS11-12 marine group,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Sphingobacteriales|f__NS11-12 marine group,LEfSe,Water,3.309349,1.69E-10,1.43E-08,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides,LEfSe,PFU,3.302049942,0.001268535,0.005438163,**
k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea,PFU - Water,k__Eukaryota|p__Euglenozoa|p__Eukaryota_Euglenozoa|c__Kinetoplastea,LEfSe,PFU,3.300560463,2.71E-08,6.43E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae,LEfSe,PFU,3.293960151,0.001722657,0.006971304,**
k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina,PFU - Water,k__Eukaryota|p__Fungi|p__Eukaryota_Fungi|c__Ascomycota|o__Pezizomycotina,LEfSe,PFU,3.288672016,2.06E-05,0.000164738,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria,LEfSe,Water,3.271763055,4.37E-09,1.66E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria|o__Kapabacteriales,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Kapabacteria|o__Kapabacteriales,LEfSe,Water,3.271763055,4.37E-09,1.66E-07,***
k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae,PFU - Water,k__Bacteria|p__Bacteroidota|p__Bacteria_Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Chitinophagaceae,LEfSe,Water,3.266774853,3.06E-05,0.00023265,***
k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales,PFU - Water,k__Bacteria|p__Chloroflexi|p__Bacteria_Chloroflexi|c__Anaerolineae|o__Anaerolineales,LEfSe,PFU,3.259946472,1.67E-06,1.91E-05,***
